station,longitude,latitude,elevation,depth_t,uncert_t,qual_t,depth_c,uncert_c,qual_c,depth_m,uncert_m,qual_m,thick0,thick1,thick2,vs0,vs1,vs2,vpvs0,vpvs1,vpvs2,strike,dip
BK.SCOT,-122.854,41.391999999999996,0.96,,,D,,,D,,,D,,,,,,,,,,,
XQ.ME04,-123.514,41.355,0.43,19.8878,2.1,A,26.4404,2.9,A,29.5944,2.9,B,20.3178,6.5526,3.154,3.5094,2.7389,3.4939,1.699407,2.835299,1.7715450000000001,-42.8,7.2
XQ.ME07,-123.912,41.168,0.68,19.0365,2.1,A,23.6791,3.6,A,30.3993,3.6,A,19.7165,4.6426,6.7202,3.5706,2.6791,3.357,1.692741,1.770893,1.7703900000000001,-9.3,21.9
XQ.ME29,-123.141,41.141999999999996,0.72,25.9593,2.9,A,38.0098,2.1,C,38.0098,2.1,A,26.6793,12.0505,0.0,3.753,2.7856,3.3272,1.729043,2.444572,1.7724209999999998,16.5,36.7
TA.N02D,-122.705,40.974,0.94,26.7898,1.4,X,35.0319,2.1,X,41.0093,2.1,X,27.7298,8.2421,5.9774,3.6985,2.6028,3.2605,1.674652,3.178423,1.7895720000000002,-1.7,24.4
BK.TRIN,-122.705,40.974,0.94,,,D,,,D,,,D,,,,,,,,,,,
BK.ARC,-124.07700000000001,40.878,0.03,17.7489,2.1,A,18.0057,1.4,A,25.0694,2.1,A,17.7789,0.2568,7.0637,3.5154,2.2392,3.7389,1.8588779999999998,1.7772869999999998,1.770895,90.0,4.2
NC.KHMB,-123.73299999999999,40.875,1.5,17.0888,2.1,A,22.2452,2.1,A,27.0707,2.1,A,18.5888,5.1564,4.8255,3.5031,2.3892,3.4758,1.671291,1.7746939999999998,1.907331,89.9,13.8
XQ.ME30,-123.565,40.843,0.24,21.0607,2.1,A,25.762,2.1,A,33.8879,2.1,A,21.3007,4.7013,8.1259,3.5058,2.9277,3.8534,1.6709450000000001,2.016327,1.770618,1.2,14.1
TA.N02C,-123.306,40.821999999999996,0.72,17.3837,6.4,C,20.9234,6.4,C,29.4718,6.4,C,18.1037,3.5397,8.5484,3.5045,3.0829,3.2808,1.7739189999999998,2.9989939999999997,1.8944459999999999,-0.8,9.8
BK.JCC,-124.03,40.817,0.03,17.8141,2.1,A,20.4539,1.4,A,27.1315,1.4,A,17.8441,2.6398,6.6776,3.5014,3.0985,3.8759,1.752213,2.175278,1.770428,-10.3,6.8
XQ.ME13,-122.91799999999999,40.764,0.76,25.8802,2.1,A,35.4357,2.1,A,46.123,1.4,A,26.6402,9.5555,10.6873,3.5943,2.3909,3.6102,1.6992740000000002,1.6045,1.825578,-66.8,8.9
BK.WEAV,-122.984,40.746,1.07,26.4483,2.9,A,35.1081,2.1,A,40.1696,2.1,A,27.5183,8.6598,5.0615,3.5249,2.6157,3.7501,1.77605,2.038078,1.9033360000000001,-3.4,13.5
XQ.ME31,-123.947,40.722,0.82,17.0262,2.1,A,22.3139,1.4,A,25.239,6.4,A,17.8462,5.2877,2.9251,3.5179,1.3114,4.0489,1.714602,1.7701689999999999,1.794957,43.7,22.7
BK.DMOR,-123.70299999999999,40.71,1.3,19.736,6.4,A,25.6241,6.4,C,27.9918,6.4,A,21.036,5.8881,2.3677,3.5032,2.7922,4.0478,1.839004,1.7996919999999998,1.776199,-58.2,15.1
NC.KHBB,-123.22,40.66,1.86,23.0562,3.6,B,28.4177,3.6,A,34.8684,3.6,A,24.9162,5.3615,6.4507,3.6238,2.7085,3.7276,1.671615,3.495625,1.7713009999999998,89.2,1.9
XQ.ME32,-123.859,40.591,0.71,15.6031,2.9,A,15.6144,6.4,B,26.3308,2.9,A,16.3131,0.0113,10.7164,3.5059,2.1018,4.0452,1.676346,1.773432,1.770419,87.0,3.8
US.WDC,-122.54,40.58,0.3,,,D,,,D,,,D,,,,,,,,,,,
BK.WDC,-122.541,40.58,0.27,37.7117,2.9,A,47.1945,4.3,C,53.2207,4.3,C,37.9817,9.4828,6.0262,3.9471,2.2832,3.2638,1.856958,1.998029,1.7759049999999998,-13.1,17.8
BK.HAYF,-123.23200000000001,40.523,0.78,27.3332,2.1,A,27.8786,2.1,C,35.6052,1.4,A,28.1132,0.5454,7.7266,3.7427,3.0808,3.4815,1.7539209999999998,1.6601860000000002,1.9031740000000001,-21.6,20.9
XQ.ME34,-124.12700000000001,40.483000000000004,0.24,11.4045,2.9,B,16.1236,2.1,B,29.4719,2.9,B,11.6445,4.7191,13.3483,3.5073,3.0327,3.6498,1.6848,2.8365150000000003,1.891282,89.7,19.8
XQ.ME35,-123.74799999999999,40.483000000000004,0.37,20.628,1.4,A,26.3094,1.4,C,26.3094,1.4,A,20.998,5.6814,0.0,3.5036,3.0268,4.0091,1.6699970000000002,1.771111,1.907012,89.8,11.4
XQ.ME33,-123.802,40.483000000000004,0.37,10.1364,6.4,C,17.1564,6.4,C,24.0012,6.4,C,10.5064,7.02,6.8448,3.6099,2.9399,3.3051,1.711432,2.8694509999999998,1.893861,85.4,43.7
BK.DLIK,-122.89399999999999,40.455,1.29,30.9553,2.1,A,34.5275,1.4,A,48.0665,2.1,B,32.2453,3.5722,13.539,3.5026,2.7232,3.9641,1.7636610000000001,2.469668,1.7711709999999998,34.4,6.7
XQ.ME27,-123.155,40.453,0.77,18.863,2.1,C,19.371,6.4,C,31.5475,2.1,C,19.633,0.508,12.1765,3.7216,2.9866,3.2967,1.67428,3.4765620000000004,1.7717720000000001,-3.2,8.4
